Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 09:00:00+00:00,7.998402907105628e-06,8.022567271837033e-06,7.915845344541594e-06,7.957170964800753e-06,0,0.0,0.0
2023-01-03 10:00:00+00:00,7.959071808727458e-06,7.995252417458687e-06,7.952025043778121e-06,7.987252502061892e-06,0,0.0,0.0
2023-01-03 11:00:00+00:00,7.962302333908156e-06,7.98801556811668e-06,7.94844891061075e-06,7.960187758726534e-06,0,0.0,0.0
2023-01-03 12:00:00+00:00,7.973059837240726e-06,7.973483661771752e-06,7.913063200248871e-06,7.913063200248871e-06,0,0.0,0.0
2023-01-03 13:00:00+00:00,7.916625690995716e-06,7.927984370326158e-06,7.845946129236836e-06,7.853313945815898e-06,23801,0.0,0.0
2023-01-03 14:00:00+00:00,7.853274837543722e-06,7.886966159276199e-06,7.79525453253882e-06,7.827586159692146e-06,37457,0.0,0.0
2023-01-03 15:00:00+00:00,7.811684554326348e-06,7.892997928138357e-06,7.811684554326348e-06,7.878016731410753e-06,29256,0.0,0.0
2023-01-03 16:00:00+00:00,7.867205567890778e-06,7.884616024966817e-06,7.824817657819949e-06,7.87806129665114e-06,46506,0.0,0.0
2023-01-03 17:00:00+00:00,7.88011311669834e-06,7.88011311669834e-06,7.803402695572004e-06,7.819238817319274e-06,8104,0.0,0.0
2023-01-03 18:00:00+00:00,7.817556252120994e-06,7.826527507859282e-06,7.801576430210844e-06,7.810429451637901e-06,0,0.0,0.0
2023-01-03 19:00:00+00:00,7.814566743036266e-06,7.832863047951832e-06,7.798201295372564e-06,7.798201295372564e-06,0,0.0,0.0
2023-01-03 20:00:00+00:00,7.799647391948383e-06,7.822356565156952e-06,7.78411776991561e-06,7.811663635948207e-06,36112,0.0,0.0
2023-01-03 21:00:00+00:00,7.81152175477473e-06,7.825277862139046e-06,7.80625850893557e-06,7.825277862139046e-06,26239,0.0,0.0
2023-01-03 22:00:00+00:00,7.819498932803981e-06,7.85225256549893e-06,7.807732799847145e-06,7.809635462763254e-06,0,0.0,0.0
2023-01-03 23:00:00+00:00,7.811083378328476e-06,7.858693606976885e-06,7.805815585015807e-06,7.858412573114038e-06,0,0.0,0.0
2023-01-04 00:00:00+00:00,7.856524462113157e-06,7.867883141443599e-06,7.827557055861689e-06,7.849292160244659e-06,6907,0.0,0.0
2023-01-04 01:00:00+00:00,7.862527127144858e-06,7.884317710704636e-06,7.845258551242296e-06,7.880234988988377e-06,15544,0.0,0.0
2023-01-04 02:00:00+00:00,7.880347766331397e-06,7.893197107478045e-06,7.850541805964895e-06,7.892469511716627e-06,0,0.0,0.0
2023-01-04 03:00:00+00:00,7.90000740380492e-06,7.964886208355892e-06,7.90000740380492e-06,7.96384392742766e-06,0,0.0,0.0
2023-01-04 04:00:00+00:00,7.963603820826393e-06,7.976322194735985e-06,7.950505278131459e-06,7.955884029797744e-06,0,0.0,0.0
2023-01-04 05:00:00+00:00,7.953627573442645e-06,7.96594667917816e-06,7.943327545945067e-06,7.94450897956267e-06,0,0.0,0.0
2023-01-04 06:00:00+00:00,7.944516255520284e-06,7.961676601553336e-06,7.937271220725961e-06,7.961676601553336e-06,107566,0.0,0.0
2023-01-04 07:00:00+00:00,7.953873137012124e-06,7.996363819984253e-06,7.950458893901668e-06,7.976398592290934e-06,62302,0.0,0.0
2023-01-04 08:00:00+00:00,7.980126611073501e-06,7.985309821378905e-06,7.923299563117325e-06,7.923299563117325e-06,18777,0.0,0.0
2023-01-04 09:00:00+00:00,7.92058290244313e-06,7.931791515147779e-06,7.910614840511698e-06,7.919639756437391e-06,3821,0.0,0.0
2023-01-04 10:00:00+00:00,7.920825737528503e-06,7.934020686661825e-06,7.904958692961372e-06,7.906078280939255e-06,11779,0.0,0.0
2023-01-04 11:00:00+00:00,7.905420716269873e-06,7.91490401752526e-06,7.875760275055654e-06,7.87833869253518e-06,26879,0.0,0.0
2023-01-04 12:00:00+00:00,7.887882929935586e-06,7.889971129770856e-06,7.863385690143332e-06,7.867911335779354e-06,8150,0.0,0.0
2023-01-04 13:00:00+00:00,7.87500357546378e-06,7.91044112702366e-06,7.87324916018406e-06,7.908724001026712e-06,0,0.0,0.0
2023-01-04 14:00:00+00:00,7.905171514721587e-06,7.921637006802484e-06,7.887193532951642e-06,7.887193532951642e-06,0,0.0,0.0
2023-01-04 15:00:00+00:00,7.903205187176354e-06,7.903205187176354e-06,7.877203643147368e-06,7.877231837483123e-06,0,0.0,0.0
2023-01-04 16:00:00+00:00,7.874495167925488e-06,7.904865924501792e-06,7.856832780817058e-06,7.904596714070067e-06,126453,0.0,0.0
2023-01-04 17:00:00+00:00,7.899219781393185e-06,7.937214832054451e-06,7.884593287599273e-06,7.937214832054451e-06,0,0.0,0.0
2023-01-04 18:00:00+00:00,7.948742677399423e-06,7.955175533425063e-06,7.89339992479654e-06,7.942776392155793e-06,203136,0.0,0.0
2023-01-04 19:00:00+00:00,7.958370588312391e-06,7.959469257912133e-06,7.915752576082014e-06,7.948887287057005e-06,23107,0.0,0.0
2023-01-04 20:00:00+00:00,7.950200597406365e-06,7.951976840558928e-06,7.925653335405514e-06,7.926314538053703e-06,1372,0.0,0.0
2023-01-04 21:00:00+00:00,7.931523214210756e-06,7.957119123602752e-06,7.918400115158875e-06,7.94287279859418e-06,0,0.0,0.0
