Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2024-09-24 01:00:00+00:00,3.321191616123542e-05,3.3341166272293776e-05,3.29649010382127e-05,3.306124563096091e-05,0,0.0,0.0,3.338627066113986e-05,3.321764437714592e-05,40.54049717896839,1.408807196413517e-07
2024-09-24 02:00:00+00:00,3.3029486075975e-05,3.304568599560298e-05,3.2869527785805985e-05,3.304049459984526e-05,96187,0.0,0.0,3.3353919207002036e-05,3.319886774988845e-05,47.96522480074072,1.7864481767744225e-07
2024-09-24 03:00:00+00:00,3.30671900883317e-05,3.314442074042745e-05,3.30547263729386e-05,3.314442074042745e-05,0,0.0,0.0,3.332788655825425e-05,3.318887902423739e-05,44.57469441305515,1.890781348563892e-07
2024-09-24 04:00:00+00:00,3.3151405659737065e-05,3.3151405659737065e-05,3.294245834695175e-05,3.294245834695175e-05,0,0.0,0.0,3.3264107696595604e-05,3.318392729852349e-05,31.38760369228534,2.0164505936446804e-07
2024-09-24 05:00:00+00:00,3.2936437492026016e-05,3.3056214306270704e-05,3.2936437492026016e-05,3.3056214306270704e-05,0,0.0,0.0,3.322335942357313e-05,3.3177168224938216e-05,30.898623359222995,1.9796916406654334e-07
2024-09-24 06:00:00+00:00,3.306186044937931e-05,3.3211323170689866e-05,3.306186044937931e-05,3.317248774692416e-05,8629,0.0,0.0,3.3199345489265396e-05,3.317288821563125e-05,43.19566549222048,1.867038941483182e-07
2024-09-24 07:00:00+00:00,3.317093069199473e-05,3.328900129417889e-05,3.317093069199473e-05,3.327942613395862e-05,0,0.0,0.0,3.318342933198437e-05,3.3175473581650295e-05,45.74764347753094,1.7008753537316427e-07
2024-09-24 08:00:00+00:00,3.328780803713016e-05,3.348171594552696e-05,3.328780803713016e-05,3.347882739035413e-05,0,0.0,0.0,3.318859962746501e-05,3.3178737430716866e-05,46.61359130840395,1.7887715121407012e-07
2024-09-24 09:00:00+00:00,3.349844701006077e-05,3.349844701006077e-05,3.330503386678174e-05,3.331221159896813e-05,0,0.0,0.0,3.317393238830846e-05,3.317934242659248e-05,45.10552967008167,1.5918135030798197e-07
2024-09-24 10:00:00+00:00,3.329872197355144e-05,3.360441405675374e-05,3.329872197355144e-05,3.355672743055038e-05,0,0.0,0.0,3.320445139252115e-05,3.318440394650679e-05,54.13852622076598,1.9978981530979019e-07
2024-09-24 11:00:00+00:00,3.3552409149706364e-05,3.361390918144025e-05,3.340875991852954e-05,3.35758704750333e-05,0,0.0,0.0,3.325591387692839e-05,3.3198585588252174e-05,53.958227566617296,2.2365750214960047e-07
2024-09-24 12:00:00+00:00,3.35611985065043e-05,3.370969352545217e-05,3.353033753228374e-05,3.353033753228374e-05,0,0.0,0.0,3.3304898170172234e-05,3.321542455523741e-05,52.918568933201385,2.248733896227456e-07
